;company_name;city;art;numbers_of_worker;main_art
;DB Digital Ventures GmbH;Berlin;Vorsitzender;0;Vorsitzender
;DB Media & Buch GmbH;Kassel;Vorsitzender;0;Vorsitzender
;Deutsche Bahn Finance GmbH[F 2];Berlin;Vorsitzender;0;Vorsitzender
;Usedomer Bäderbahn GmbH;Heringsdorf;Vorsitzender;174;Vorsitzender
;DB Systel GmbH;Frankfurt am Main;Digitalisierung & Technik;5100;Digitalisierung & Technik
;DB Gastronomie GmbH;Frankfurt am Main;Personal & Recht;0;Personal & Recht
;DB JobService GmbH;Berlin;Personal & Recht;3000;Personal & Recht
;DB Zeitarbeit GmbH;Berlin;Personal & Recht;2800;Personal & Recht
;DB Fernverkehr AG;Frankfurt am Main;Geschäftsfeld DB Fernverkehr;16295;Personenverkehr
;Ameropa-Reisen GmbH;Bad Homburg;Geschäftsfeld DB Fernverkehr;120;Personenverkehr
;DB Arriva plc.;Sunderland/Großbritannien;Geschäftsfeld DB Arriva;52331;Personenverkehr
;DB Regio AG;Frankfurt am Main;Geschäftsfeld DB Regio (Sparte Schiene);36374;Personenverkehr
;DB RegioNetz Verkehrs GmbH;Frankfurt am Main;Geschäftsfeld DB Regio (Sparte Schiene);1000;Personenverkehr
;DB ZugBus Regionalverkehr Alb-Bodensee GmbH (RAB);Ulm;Geschäftsfeld DB Regio (Sparte Schiene);1215;Personenverkehr
;S-Bahn Berlin GmbH;Berlin;Geschäftsfeld DB Regio (Sparte Schiene);2744;Personenverkehr
;S-Bahn Hamburg GmbH;Hamburg;Geschäftsfeld DB Regio (Sparte Schiene);1000;Personenverkehr
;Autokraft GmbH;Kiel;Geschäftsfeld DB Regio (Sparte Bus);740;Personenverkehr
;Regionalbus Braunschweig GmbH (RBB);Braunschweig;Geschäftsfeld DB Regio (Sparte Bus);318;Personenverkehr
;Haller Busbetrieb GmbH;Walsrode;Geschäftsfeld DB Regio (Sparte Bus);166;Personenverkehr
;Weser-Ems Busverkehr GmbH;Bremen;Geschäftsfeld DB Regio (Sparte Bus);1800;Personenverkehr
;Hanekamp Busreisen GmbH;Cloppenburg;Geschäftsfeld DB Regio (Sparte Bus);120;Personenverkehr
;Kreisbahn Aurich Verkehrsbetriebe GmbH;Aurich;Geschäftsfeld DB Regio (Sparte Bus);290;Personenverkehr
;Verkehrsbetriebe Wiesmoor;Wiesmoor;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Busverkehr Ostwestfalen GmbH (BVO);Bielefeld;Geschäftsfeld DB Regio (Sparte Bus);290;Personenverkehr
;BahnBus Hochstift (BBH) (;Paderborn;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Nahverkehr Ostwestfalen GmbH (NVO);Münster;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Hövelhofer Ortsbus GmbH ;Hövelhof;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Busverkehr Rheinland GmbH (BVR);Düsseldorf;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Westfalen Bus GmbH;Münster;Geschäftsfeld DB Regio (Sparte Bus);150;Personenverkehr
;Busverkehr Ruhr-Sieg GmbH (BRS) (;Meschede;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;DB Busverkehr Hessen GmbH;Gießen;Geschäftsfeld DB Regio (Sparte Bus);420;Personenverkehr
;Busverkehr Rhein-Neckar GmbH (BRN);Ludwigshafen;Geschäftsfeld DB Regio (Sparte Bus);155;Personenverkehr
;DB Regio Bus Südwest GmbH;Ludwigshafen;Geschäftsfeld DB Regio (Sparte Bus);155;Personenverkehr
;Omnibusverkehr Rhein-Nahe GmbH (ORN);Mainz;Geschäftsfeld DB Regio (Sparte Bus);330;Personenverkehr
;Regional Bus Stuttgart GmbH (RBS);Stuttgart;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Friedrich Müller Omnibusunternehmen GmbH;Schwäbisch Hall;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
;Regionalbusverkehr Südwest GmbH (RVS);Karlsruhe;Geschäftsfeld DB Regio (Sparte Bus);412;Personenverkehr
;Rhein-Mosel Verkehrsgesellschaft mbH (RMV);Koblenz;Geschäftsfeld DB Regio (Sparte Bus);200;Personenverkehr
;DB Regio Bus Rhein-Mosel GmbH;Montabaur;Geschäftsfeld DB Regio (Sparte Bus);0;Personenverkehr
